PitchTest	T1	64	59	64																																																																																																																					
RhythmTest	T1	22	1	1																																																																																																																					
																																																																																																																									
PitchTest	T2	64	66	68																																																																																																																					
RhythmTest	T2	34	1	1																																																																																																																					
																																																																																																																									
PitchTest	T3	64	62	60																																																																																																																					
RhythmTest	T3	43	1	1																																																																																																																					
																																																																																																																									
																																																																																																																									
Pitch	A1	64	63	64	64	59	64	64	66	68	69	71	73																																																																																																												
Rhythm	A1	1	1	1	22	1	1	34	1	1	22	22	1																																																																																																												
																																																																																																																									
Pitch	A2	64	62	64	59	64	62	64	59	64	66	67	69	71	66	71	67	66	64																																																																																																						
Rhythm	A2	1	1	22	1	1	1	22	1	1	1	1	1	22	22	1	1	1	1																																																																																																						
																																																																																																																									
Pitch	A3	64	65	64	59	64	64	64	59	64	65	69	69	64	62	60	65	64	64	59	64	71	72	74	76																																																																																																
Rhythm	A3	1	1	22	1	1	1	22	1	1	22	22	22	43	1	1	1	1	22	1	1	1	22	22	22																																																																																																
																																																																																																																									
Pitch	A4	71	70	71	76	64	71	64	59	64	64	59	71	66	64	71	64	76	64	71	70	68	64	66	68	64	59	64	64	66	64																																																																																										
Rhythm	A4	1	1	1	1	1	1	22	1	1	22	1	22	1	1	1	1	1	1	22	22	22	34	1	1	22	1	1	1	1	1																																																																																										
																																																																																																																									
Pitch	A5	64	62	61	56	61	61	64	69	71	73	71	69	64	66	68	64	59	64	64	69	71	73	71	69	64	66	68	66	64	59	64	73	74	76	71	76																																																																																				
Rhythm	A5	1	1	22	1	1	1	22	22	22	34	34	34	34	1	1	22	1	1	1	1	1	34	34	1	34	1	1	1	22	1	1	1	1	22	1	22																																																																																				
																																																																																																																									
Pitch	A6	64	64	71	76	74	72	72	74	72	71	64	59	64	66	67	67	69	71	69	71	69	67	69	71	64	62	60	64	66	67	69	64	69	69	64	59	64	71	69	67	66	64																																																																														
Rhythm	A6	1	1	1	22	22	1	1	1	244	1	22	1	1	1	1	244	1	1	1	1	1	244	1	1	43	1	1	1	1	1	244	1	244	1	22	1	1	1	1	244	22	1																																																																														
																																																																																																																									
Pitch	A7	69	70	69	67	62	67	62	64	59	64	70	72	74	76	76	64	58	64	64	62	60	65	64	64	59	64	59	64	70	72	74	72	70	69	67	65	64	62	60	64	59	64	64	58	64	64	60	64																																																																								
Rhythm	A7	1	1	1	1	22	22	1	22	1	1	244	1	1	1	1	442	1	1	43	1	1	1	1	34	1	22	1	1	244	1	1	1	1	244	1	1	43	1	1	22	1	1	22	1	22	1	1	1																																																																								
																																																																																																																									
Pitch	A8	64	63	60	64	63	60	59	64	66	68	66	64	64	71	71	66	64	71	64	59	64	64	59	59	64	66	67	64	59	64	64	66	67	67	69	71	72	75	71	69	67	66	64	63	60	64	63	60	64	59	64	64	64	59																																																																		
Rhythm	A8	1	22	22	1	22	1	1	1	1	442	1	1	1	1	22	4444	1	1	22	1	1	22	1	442	1	1	1	22	1	1	1	1	244	244	1	1	43	244	244	1	1	1	34	1	22	34	22	22	22	1	1	22	244	244																																																																		
																																																																																																																									
Pitch	A9	71	73	71	69	67	65	63	59	63	63	59	63	65	61	64	59	64	65	67	69	65	67	74	64	76	70	76	76	70	76	64	66	68	64	64	59	64	70	58	60	62	67	64	66	68	64	66	64	67	62	64	66	64	66	68	64	66	62	67	67																																																												
Rhythm	A9	1	43	1	1	1	1	34	1	1	34	22	1	1	1	22	1	1	34	1	1	34	34	1	1	22	1	1	22	22	1	34	1	1	1	22	1	1	1	43	1	1	1	34	1	1	34	1	22	1	22	1	1	34	1	1	34	1	22	442	442																																																												
																																																																																																																									
Pitch	A10	64	67	69	64	67	69	64	62	60	64	60	60	69	64	59	64	60	64	67	64	62	64	62	60	64	66	69	71	68	66	71	68	66	64	59	64	59	64	59	64	62	59	64	66	68	64	66	64	67	71	73	76	71	73	76	67	71	68	66	64																																																												
Rhythm	A10	1	22	1	1	22	1	43	1	1	43	1	22	1	22	1	1	1	1	34	1	1	34	1	34	1	1	1	43	1	1	43	1	43	22	1	1	1	22	1	1	1	1	34	1	1	34	1	4444	442	43	1	1	43	1	442	244	4444	22	1	22																																																												
																																																																																																																									
																																																																																																																									
Pitch	B1	76	78	80	76	78	76	64	59	64	64	59	64	75	64	65	67	70	73	76	67	76	64	59	64	64	59	64	79	76	71	76	76	64	76	64	59	64	64	75	64	64	62	60	64	62	60	64	76																																																																								
Rhythm	B1	22	1	22	22	1	22	22	1	1	22	1	1	424	22	1	1	424	22	22	22	1	22	1	1	22	1	1	424	22	1	1	22	1	424	22	1	1	22	4444	1	43	1	1	43	1	1	1	1																																																																								
																																																																																																																									
Pitch	B2	68	62	60	76	74	61	64	66	68	64	66	68	88	62	88	62	88	62	60	64	62	61	64	59	64	64	59	64	93	58	93	93	58	93	64	59	64	64	59	64	64	62	60	64	62	76	79	83	76	78	80	64	59	64	64	59	64	66	68	67																																																												
Rhythm	B2	22	1	1	1	4444	4444	34	1	1	34	1	1	34	1	1	34	34	1	4444	4444	4444	1	22	1	1	22	1	1	34	1	1	34	1	424	22	1	1	22	1	1	43	1	1	43	1	22	424	424	34	1	1	22	1	1	22	1	1	424	1	424																																																												
																																																																																																																									
Pitch	B3	68	64	59	76	74	76	64	59	64	64	59	64	40	42	44	40	42	52	50	48	48	64	59	64	78	46	78	78	46	78	53	83	78	83	83	78	79	64	62	60	64	62	60	54	56	52	64	59	64	64	59	64	83	88	52	40	52	52	40	52	64	59	64	64	59	64	55	87	64	52	63	52																																																
Rhythm	B3	34	1	22	4444	34	34	22	1	1	22	1	1	22	1	22	1	1	1	244	442	4444	22	1	1	34	1	1	34	1	34	4444	22	1	1	22	1	22	43	1	1	43	1	1	442	1	442	22	1	1	22	1	1	442	22	34	1	1	34	34	1	22	1	1	22	1	1	442	442	1	244	244	244																																																
																																																																																																																									
Pitch	B4	68	64	59	64	65	72	65	61	65	65	61	67	76	70	74	77	79	81	77	79	82	81	79	77	64	59	64	64	59	64	78	79	80	81	82	83	64	59	64	64	59	64	64	69	68	67	69	68	67	67	64	59	64	64	59	64	60	55	60	64	59	64	65	66	67	68	69	70	71	65	59	64	62	60	64	62	60	64	59	64	64	59	64	67																																				
Rhythm	B4	43	22	1	1	43	43	22	1	1	1	22	1	442	442	442	43	1	1	442	244	244	34	1	1	22	1	1	22	1	1	442	442	442	442	442	244	22	1	1	22	1	1	4444	442	244	244	442	244	442	1	22	1	1	22	1	1	34	1	1	22	1	1	4444	442	244	244	244	244	442	442	442	43	1	1	43	1	1	22	1	1	22	1	1	424																																				
																																																																																																																									
Pitch	B5	65	66	67	65	66	67	64	62	60	64	62	60	64	65	66	67	64	59	64	64	59	64	73	73	74	73	64	66	68	64	66	68	69	65	67	68	66	67	68	64	62	60	64	63	62	64	65	59	65	65	59	66	64	59	64	64	59	64	62	61	60	64	62	60	64	59	64	64	59	64	71	72	73	74	75	76	71	64	66	68	64	66	66	64	66	68	64	59	64	64	59	64	61	60	59	67																								
Rhythm	B5	9	1	34	1	22	22	43	1	1	43	1	1	1	4444	4444	1	22	1	1	22	1	1	4444	4444	4444	4444	34	1	1	34	1	1	4444	4444	4444	4444	4444	4444	4444	43	1	1	22	1	1	4444	34	1	1	1	34	1	22	1	1	22	1	1	4444	4444	4444	43	1	1	22	1	1	22	1	1	4444	4444	4444	4444	4444	4444	4444	34	1	1	34	1	4444	34	1	1	22	1	1	22	1	1	244	442	9	1																								
																																																																																																																									
Pitch	B6	75	62	60	64	62	60	64	62	60	75	64	59	64	64	59	84	75	84	73	75	77	73	75	76	62	64	62	61	63	61	64	66	68	64	66	68	73	75	77	73	75	75	64	62	60	64	62	60	64	66	68	64	66	68	64	59	64	64	59	64	69	75	63	64	62	60	64	62	60	59	70	65	70	70	65	71	73	75	71	73	63	64	59	64	64	59	64	65	84	85	83	85	86	60	55	60	60	55	53	52	64	62	60	64	62	60	60	52												
Rhythm	B6	5	1	43	43	1	1	43	1	1	1	22	1	1	22	1	22	34	34	22	1	1	22	22	1	1	1	1	4444	4444	4444	34	1	1	34	1	1	22	1	1	22	22	1	43	1	1	43	1	1	34	1	1	34	1	1	22	1	1	22	1	1	3	442	3	43	1	1	43	1	1	3	22	1	1	22	1	4444	1	3	442	3	442	22	1	1	22	1	1	1	1	5	1	9	424	22	1	1	9	9	1	1	43	1	1	43	1	1	9	1												
																																																																																																																									
Pitch	B7	64	59	64	65	60	65	64	59	64	64	59	64	63	64	59	64	64	59	64	64	66	67	68	69	71	73	68	73	74	69	74	75	69	75	76	64	59	64	64	59	64	69	64	69	69	64	70	64	71	66	71	71	66	72	68	73	74	75	76	64	59	64	64	59	64	74	72	71	70	65	70	70	65	66	67	62	62	67	67	62	64	59	64	64	59	64	69	64	69	64	59	64	64	59	64	64	66	59	64	66	59	64	67	71	67	64	67	62	67	66	61	66	64	76						
Rhythm	B7	22	1	1	22	1	1	22	1	1	22	1	1	3	22	1	1	22	1	1	3	3	3	1	43	1	1	3	3	22	1	1	3	5	3	5	22	1	1	22	1	1	34	1	1	34	34	1	3	22	1	1	22	1	22	3	3	5	1	1	22	1	1	22	1	1	3	3	3	34	1	1	34	1	424	43	43	1	43	43	1	22	1	1	22	1	1	9	5	9	22	1	1	22	1	1	34	1	1	34	34	1	1	9	9	9	1	22	1	1	22	22	1	9	1						
																																																																																																																									
Pitch	B8	72	64	67	64	62	60	64	62	60	69	67	65	69	67	66	65	67	69	71	69	70	71	64	66	68	64	66	68	65	64	59	64	64	59	65	67	69	66	68	70	71	66	68	66	64	68	66	59	64	62	60	64	62	60	69	67	65	69	67	68	64	59	64	64	59	64	71	64	66	68	64	66	68	64	62	60	64	62	60	62	64	59	64	64	66	68	64	68	69	71	73	69	71	74	67	71	69	64	62	60	64	62	60	69	64	59	64	64	59	64	76	64	62	60	64	62	61	62	69	71
Rhythm	B8	7	1	22	43	1	1	43	1	1	22	1	1	22	1	22	5	22	1	1	1	4444	3	34	1	1	34	1	1	442	22	1	1	22	1	244	1	5	34	1	1	5	1	22	1	1	22	1	1	43	1	1	43	1	1	34	1	1	34	34	1	22	1	1	22	1	1	3	34	1	1	34	1	1	43	1	1	43	1	1	3	22	1	1	34	1	1	9	9	22	1	1	22	1	442	4444	424	424	43	1	1	43	1	1	9	22	1	1	22	1	1	9	43	1	1	43	1	4444	22	5	4444
																																																																																																																									
