L	0,3	0	0,5,7	6	0
-	0,3	0	0,5,7	5	0,65
-	0,3	0	0,5,7	7	0,73
-	0,3	0	0,5,7	8	0,26
-	0,3	1	0,5,7	9	0,57,68
-	0,3	1	0,5,7	9	0,60
T	0,3	1	0,5,7	9	0,65,68
-	1,4	0	0,2,4,5	6	0
-	1,4	0	0,2,4,5	5	0,65
-	1,4	1	0,2,4,5	7	0,73
-	1,4	3	0,2,4,5	8	57,68
-	1,4	3	0,2,4,5,7,8	8	26,57
-	1,4	3	0,2,4,5,7,8	9	1,26,57
T	1,4	3	0,2,4,5,7,8	9	0,65,68
-	2,5	0	12	6	0
-	2,5	0	12	5	0,65
-	2,5	3	12	7	0,68,73
-	2,5	2	12	8	26,42
-	2,5	2	12	8	0,1,26,57
-	2,5	2	12	9	0,1,60
T	2,5	2	12	9	0,65,68
L	10,34,35,36	0	0,5,7	6	0
-	10,34,35,36	0	0,5,7	6	0,42
-	11,34,35,36	0	0,2,5,7	6	0,19,57
-	11,34,35,36	0	0,2,5,7	6	0,1,32
-	12,34,35,36	1	0,2,5,7	8	0,26,71
-	12,34,35,36	1	0,2,5,7	8	0,11
T	13,34,35,36	1	0,2,5,7	8	0,1,40
-	13,34,35,36	0	0,2,4,5	8	0,60,73
-	10,11,12,13	0	0,2,4,5	9	0,65,68
-	10,11,12,13	1	0,2,4,5	9	0,1,65
-	10,11,12,13	3	0,2,4,5	9	-1
-	18,37,38,39	3	0,2,4,5,7,8	8	0
-	18,37,38,39	3	0,2,4,5,7,8	8	0,1,42
T	19,37,38,39	3	0,2,4,5,7,8	8	0,19,57
-	19,37,38,39	0	12	3	0,32
-	20,37,38,39	0	12	7	0,26,71
-	20,37,38,39	3	12	8	0,11
-	21,37,38,39	2	12	8	0,1,40
-	21,37,38,39	2	12	8	0,60,73
-	18,19,20,21	2	12	9	0,65,68
T	18,19,20,21	2	12	9	-1
L	23,37,38,39	0	0,5,7	6	0
-	23,37,38,39	0	0,5,7	6	0,1,42
-	24,37,38,39	0	0,5,7	6	0,19,57
-	24,37,38,39	0	0,5,7	3	0,32
-	25,37,38,39	1	0,5,7,9	8	0,26,71
-	25,37,38,39	1	0,5,7,9	8	0,1,11
T	26,37,38,39	1	0,5,7,9	8	0,60,73
-	23,24,25,26	0	0,1,2,3,4	9	0,65,68
-	23,24,25,26	0	0,1,2,3,4	3	0,65
-	23,37,38,39	1	0,1,2,3,4	8	0,1,42
-	24,37,38,39	3	0,1,2,3,4	8	0,19,57
-	24,37,38,39	3	5,6,7,8,9	8	0,32
-	25,37,38,39	3	5,6,7,8,9	8	0,26,71
T	26,37,38,39	3	5,6,7,8,9	8	0,1,40
-	26,37,38,39	0	12	6	0,6
-	26,37,38,39	0	12	7	0,6
-	26,37,38,39	3	12	8	60,73
-	26,37,38,39	2	12	8	0,60,73
-	23,24,25,26	2	12	9	0,65,68
-	23,24,25,26	2	12	8	0,65
T	23,24,25,26	2	12	9	-1
L	6,27	0	0,5,7	6	0
-	7,27	0	0,5,7	6	0,1,42
-	8,27	0	0,5,7	5	0,19,57
-	6,7	0	0,5,7	9	0,32
-	6,7	1	0,5,7	7	0,26,71
-	6,7	1	0,5,7	7	0,1,11
T	6,7	1	0,5,7	8	0,60,73
-	8,27	0	0,1,2,3,4	9	0,65,68
-	8,27	0	0,1,2,3,4	8	0,1,65
-	8,27	1	0,1,2,3,4	9	26,32,57
-	7,8,27	3	0,3,4,5,6	9	26,32,57
-	7,8,27	3	0,3,4,5,6	9	0,68,73
-	7,8,27	3	0,4,5,6,7	9	0,57,65
T	7,8,27	3	0,4,5,6,7	9	0,26,32
-	7,8,27,25	0	12	9	0,42
-	7,8,27,26	0	12	9	0,19,57
-	7,8,27,25	3	12	8	0,32
-	7,8,27,26	2	12	9	0,26,71
-	6,8,27,25	2	12	9	0,1,11
-	6,8,27,26	2	12	9	0,60,73
T	6,7,8,27	2	12	9	0,60,73
L	30,34,10	0	0,5,7	6	0
-	30,34,10	0	0,5,7	6	0,65
-	30,23,26	0	0,5,7	7	0,73
-	30,27,24	0	0,5,7	8	0,26,57
-	30,10,11	1	0,2,5,6,8	8	0,68
-	30,10,11	1	0,2,5,6,8	8	0,42,60
T	30,10,13	1	0,2,5,6,8	9	0,65,68
-	31,37,18	0	0,1,2,3,4	7	0
-	31,37,18	0	0,1,2,3,4	7	0,65
-	31,37,18	1	0,1,2,3,4	8	68
-	31,19,20	3	0,3,4,5,6	8	0,73
-	31,21,10	3	0,3,4,5,6	8	0,1,26,57
-	31,25,26,27	3	0,3,4,5,6	8	0,60
T	31,30,18,19	3	0,3,4,5,6	9	0,65,68
-	33,34	0	12	7	0
-	33,34	0	12	7	68
-	33,10,11	3	12	8	0,65
-	33,11,12	2	12	8	0,73
-	33,12,13	2	12	8	0,26,57
-	33,30,10	2	12	9	0,60
T	33,10,30	2	12	9	0,65,68
L	14,34,37	0	0,5,7	6	0
-	14,10,18	0	0,5,7	6	0,1,42
-	15,34,37	0	0,5,7	7	0,19,57
-	15,11,19	0	0,5,7	5	0,32
-	16,35,38	1	0,2,5,7,9	8	0,26,71
-	16,12,20	1	0,2,5,7,9	7	0,11
T	17,36,39	1	0,2,5,7,9	9	0,1,40
-	17,13,21	0	0,1,4,5,7,8	8	0,60
-	17,13,21	0	0,1,4,5,7,8	8	60,73
-	17,13,21	1	0,1,4,5,7,8	8	65,73
-	14,15,16,17	3	0,2,3,4,5,6	8	0,60,73
-	14,15,16,17	3	0,2,3,4,5,6	9	0,65,68
-	14,15,16,17	3	0,4,5,6,7,8	8	0,1,65
T	14,15,16,17	3	0,4,5,6,7,8	9	0,65,68
-	28,37	0	12	6	0
-	28,32	0	12	7	0,65
-	28,29	3	12	8	0,68,73
-	28,14	2	12	8	42,57
-	28,14,37	2	12	8	0,26
-	28,31,29	2	12	9	0,60
T	28,31,37,29	2	12	9	0,65,68
L	9,6	0	0,5,7	6	0
-	9,7,8	0	0,5,7	6	0,1,42
-	22,6	0	0,5,7	5	0,19,57
-	22,7,8	0	0,5,7,9	8	0,32
-	9,22	1	0,5,7,9	8	0,26,71
-	22,40	1	0,5,7,9	8	0,11
T	22,40,27	1	0,5,7,9	8	0,1,40
-	22,40	0	0,1,2,3,8,9	8	0,60
-	22,40	0	0,1,2,3,8,9	8	65,68
-	22,40	1	0,3,4,5,6,7	9	0,1,65
-	22,40,28	3	0,3,4,5,6,7	8	-1
-	22,40,32	3	0,4,5,6,7,8	9	-1
-	22,40,33	3	0,4,5,6,7,8	9	-1
T	9,22,6,27	3	0,4,5,6,7,8	9	-1
-	22,40,28	0	12	8	0,60
-	22,40,32	0	12	8	0,68
-	22,40,33	3	12	9	0,1,65
-	9,22,6,27	2	12	8	0,60,73
-	9,22,6,27	2	12	9	0,65,68
-	9,22,6,27	2	12	8	0,1,65
T	9,22,6,27	2	12	9	-1
