L	0,1	0,5,7	0	1	2000	0	6	0
 - 	1,2	0,5,7	0	1	2000	0	5	0
 - 	0,3	0,5,7	0	1	2000	1	7	0
 - 	1,4	0,5,7	0	1	2000	1	8	0
 - 	0,4	0,5,7	0	1	2000	1	9	0
 - 	0,2	0,5,7	0	1	2000	1	6	0,4
 - 	1,3	1,6,8	0	244	3000	1	5	0,4
 - 	2,4	1,6,8	0	1	2000	1	7	65,73
 - 	0,3	1,6,8	0	244	3000	1	8	65,73
T	0,1,4	1,6,8	0	1,244	2000	1	3	40,73
 - 	5,11	0,5,7	0	1	2000	2	6	0,40,65,73
 - 	5,11	0,5,7	0	1	2000	2	6	0,40,65,73
 - 	5,11	0,5,7	1	1	2000	2	6	0,40,65,73
 - 	5,11	0,5,7	2	22	2000	3	6	0,40,65,73
 - 	5,11	0,5,7	3	22	2000	3	6	0,40,65,73
 - 	5,11	0,5,7	4	244	3000	3	7	-1
 - 	5,11	1,6,8	5	442	3000	3	8	-1
 - 	5,11	1,6,8	6	4444	3000	4	8	-1
 - 	5,11	1,6,8	7	424	3000	4	9	-1
T	5,11	1,6,8	4	1	2000	4	9	-1
L	19,187	0,1,3,7	0	1	2000	2	6	0
 - 	19,187	0,1,3,7	0	1	2000	2	4	40
 - 	19,187	0,1,3,7	0	1	2000	2	6	73
 - 	19,187	0,1,3,7	1	22	2000	3	5	65
 - 	19,187	0,1,3,7	2	22	2000	3	7	65,73
 - 	19,187	0,1,3,7	3	244	3000	3	4	0,40,65,73
 - 	19,187	0,1,3,7	4	442	3000	3	4	0,40,65,73
 - 	19,187	0,1,3,7	5	4444	3000	4	4	0,40,65,73
 - 	19,187	0,1,3,7	6	424	3000	4	4	0,40,65,73
T	19,187	0,1,3,7	7	1	2000	3	9	68
 - 	12,16	0,5,7	0	1	2000	2	6	0
 - 	12,16	0,5,7	0	1	1000	2	6	57
 - 	12,16	0,2,4,5,7	1	1	1000	2	4	40
 - 	12,16	0,2,4,5,7	2	22	1300	3	6	11,13
 - 	12,16	0,2,4,5,7	3	22	2000	3	7	0
 - 	12,16	0,2,4,5,7	4	244	3000	3	7	73
 - 	12,16	0,1,2,4,5	5	442	3000	3	4	0,40,65,73
 - 	12,16	0,1,2,4,5	6	4444	3000	4	4	0,40,65,73
 - 	12,16	12	7	424	3000	4	4	0,40,65,73
T	12,16	12	4	1	2000	3	4	0,40,65,73
L	6,7	0,5,7	0	1	2000	2	6	0
 - 	6,7	0,5,7	0	1	1000	2	6	73
 - 	6,7	0,2,4,5,7	0	1	1000	2	6	60
 - 	8,9	0,2,4,5,7	1	22	2000	3	3	12,32
 - 	8,9	0,2,4,5,7	2	22	2000	3	7	0
 - 	8,9	0,2,4,5,7	3	244	2000	3	7	40
 - 	9,10	0,1,2,4,5	4	442	2000	3	4	0,40,65,73
 - 	6,7	0,1,2,4,5	5	4444	2000	4	4	0,40,65,73
 - 	8,9	12	6	424	2000	4	4	0,40,65,73
 T 	6,7,8	12	6	1	1000	3	4	0,40,65,73
 - 	6,7,8	0,5,7	6	4444	2000	4	4	0,40,65,73
 - 	6,7,8	0,5,7	6	424	2000	4	4	0,40,65,73
 - 	6,7,8	0,2,4,5,7	7	34	2000	4	4	0,40,65,73
 - 	7,8,9	0,2,4,5,7	9	22	2000	3	3	12,32
 - 	7,8,9	0,2,4,5,7	10	22	2000	3	7	0
 - 	7,8,9	0,2,4,5,7	11	244	2000	3	7	40
 - 	8,9,10	0,1,2,4,5	8	442	2000	3	4	0,40,65,73
